ISO3,country,bii_mean,bii_logit_mean,bii_logit_se,n_langs,log_n_langs
GBR,United Kingdom,0.4288142740726471,-0.2867236266157883,0.010954881000080996,30,3.4011973816621555
USA,United States,0.6912064671516418,0.805827483165428,0.008981286299435764,320,5.768320995793772
UMI,United States Minor Outlying Islands (the),NA,NA,NA,1,0
URY,Uruguay,0.32386491894721986,-0.7361732664771066,0.012266379216660137,9,2.1972245773362196
UZB,Uzbekistan,0.6980858206748962,0.8382476389480187,0.007812159350437232,17,2.833213344056216
VUT,Vanuatu,0.9143673062324524,2.4636383591818425,0.23675655179802582,127,4.844187086458591
VEN,Venezuela,0.8643151998519898,1.8528330566191002,0.029224560721666605,66,4.189654742026425
VNM,Vietnam,0.6885016202926636,0.7931526078157396,0.006214010773909544,123,4.812184355372417
WLF,Wallis & Futuna,NA,NA,NA,2,0.6931471805599453
ESH,Western Sahara,0.9182519912719727,2.4188407247921955,0.0024845978569023775,4,1.3862943611198906
YEM,Yemen,0.7586801171302795,1.1454608169324392,0.0019535049173716817,18,2.8903717578961645
ZMB,Zambia,0.8809928655624389,2.005314469337906,0.04727757686075775,52,3.9512437185814275
ZWE,Zimbabwe,0.8530245065689087,1.7627085336380754,0.05446855629701123,27,3.295836866004329
ALA,Åland Islands,0.935494601726532,2.675668522692007,0.027485857238792443,2,0.6931471805599453
NA,NA,NA,NA,NA,8,2.0794415416798357
